,Weekly drop (revenue),Title,Screens (week),Days since premiere
21,-0.37758804446587313,Passageiros,69,21
22,-0.6166041172302839,Cantar!,95,35
24,-0.5814120963150025,Rogue One: Uma História de Star Wars,75,28
25,-0.30860261445382786,Porquê Ele?,41,21
26,-0.30388502988034605,Beleza Colateral,48,21
27,-0.7035154542833183,Vaiana,61,49
28,-0.4437806914175032,A Encarnação do Mal,33,14
29,-0.4341867947632133,A Luz Entre Oceanos,38,14
30,-0.454258673822694,Bleed for This - A Força de Um Campeão ,36,14
32,-0.6362860089299873,Festa de Natal da Empresa,14,35
33,-0.6312086666869928,O Herói da Quinta,35,21
34,-0.23093917865188018,Na Via Láctea,8,14
37,-0.6752675269226586,Aliados,12,42
38,-0.4211338714345435,Lion - A Longa Estrada Para Casa,9,35
39,-0.7501225247856664,Monstros Fantásticos e Onde Encontrá-los,14,56
40,-0.43944075776525715,Assassin's Creed,76,14
42,-0.3190848873796285,Passageiros,67,28
43,-0.27385011847050666,Cantar!,84,42
44,-0.15110334933184522,Manchester by the Sea,45,14
47,-0.2697359723957137,Beleza Colateral,34,28
48,-0.3451727515722033,Porquê Ele?,32,28
49,-0.5822066302810269,Rogue One: Uma História de Star Wars,51,35
52,-0.5751193926460101,Vaiana,38,56
53,0.4375901338814512,Lion - A Longa Estrada Para Casa,8,42
54,-0.22555272348335487,Na Via Láctea,8,21
55,-0.22517164628178266,Zeus,13,14
56,-0.6498966671640909,A Luz Entre Oceanos,15,21
57,-0.5416405134392304,Ovelhas e Lobos,28,14
59,-0.2744050204912669,Aliados,6,49
62,-0.5408123964096725,Assassin's Creed,75,21
63,0.07621894749145897,Ozzy,65,14
64,-0.2859152682936069,Cantar!,71,49
65,-0.4337771427955447,Nos Limites da Lei,46,14
66,-0.3405320259526451,Manchester by the Sea,41,21
67,-0.38467540682540713,Passageiros,54,35
68,-0.5848247631973581,Viver na Noite,62,14
69,-0.35582597616725,Beleza Colateral,31,35
70,-0.40879874399086,Porquê Ele?,23,35
71,-0.36458651399491093,O Nome do Medo,18,14
72,-0.5783149829706337,Rogue One: Uma História de Star Wars,25,42
73,-0.4776777934706301,Miss Sloane - Uma Mulher de Armas,35,14
74,0.08408435562789474,Lion - A Longa Estrada Para Casa,11,49
75,-0.4722466082646892,Vaiana,30,63
76,-0.2748081194741817,Homenzinhos,4,14
77,-0.434400914264102,Na Via Láctea,6,28
78,-0.4497063290144313,Zeus,12,21
81,-0.20610967480088715,Silêncio,86,14
82,-0.4141166811202902,xXx: O Regresso de Xander Cage,81,14
84,-0.004962802519654197,Ozzy,64,21
85,-0.3823523318995681,Assassin's Creed,72,28
86,-0.24949287429906875,Manchester by the Sea,35,28
87,-0.3433154140440462,Cantar!,52,56
88,-0.3046998591027146,Nos Limites da Lei,40,21
90,-0.5443535568687086,Passageiros,35,42
91,-0.3503343493457244,Beleza Colateral,22,42
92,-0.34212705285165024,Porquê Ele?,17,42
93,0.05221786554502028,Lion - A Longa Estrada Para Casa,6,56
94,-0.4212068332868314,O Nome do Medo,15,21
95,-0.32185790918425083,Rogue One: Uma História de Star Wars,16,49
96,-0.7242562147312206,Viver na Noite,33,21
97,-0.46210355570595396,Miss Sloane - Uma Mulher de Armas,21,21
99,-0.3221528598225978,Vaiana,22,70
100,-0.2745256301297224,La La Land: Melodia de Amor,91,14
102,-0.4261882887363613,Silêncio,85,21
103,-0.37265366962599056,xXx: O Regresso de Xander Cage,71,21
105,-0.4317173789986193,Resident Evil: Capítulo Final,69,14
107,-0.10509701030585372,Ozzy,65,28
109,-0.2230806992572455,Cantar!,49,63
110,-0.17403172257113775,Aqui Há Gato!,32,14
111,-0.43357224184322485,Manchester by the Sea,30,35
113,-0.6865027262967982,Assassin's Creed,31,35
114,-0.6117605460715533,Nos Limites da Lei,18,28
115,-0.12350858364736905,Lion - A Longa Estrada Para Casa,8,63
116,-0.4767646460443812,Beleza Colateral,12,49
117,-0.5796882715386762,Porquê Ele?,12,49
118,-0.7694817912528316,Passageiros,9,49
119,-0.23400245403654196,Vaiana,22,77
120,37.7967591354633,As Cinquenta Sombras Mais Negras,118,7
121,-0.3069373731827021,La La Land: Melodia de Amor,80,21
123,-0.24112951124630044,Fragmentado,46,14
124,-0.2123285619795624,Elementos Secretos,41,14
125,-0.2962562058922159,xXx: O Regresso de Xander Cage,57,28
126,-0.3387526936691534,Silêncio,68,28
128,-0.1541004507935454,Ozzy,74,35
129,-0.213058172883689,Moonlight,18,14
130,-0.6125553576971914,Resident Evil: Capítulo Final,44,21
131,-0.5607105037720858,Patriots Day - Unidos Por Boston,44,14
132,-0.31565554428004816,Cantar!,49,70
133,-0.36042290718489545,Aqui Há Gato!,27,21
135,-0.4182806427839004,Manchester by the Sea,18,42
136,0.05818402756842245,Lion - A Longa Estrada Para Casa,5,70
137,-0.7589875131279239,Assassin's Creed,6,42
138,-0.5760782562243298,Beleza Colateral,4,56
139,-0.3206829394962347,Vaiana,18,84
140,-0.4644732975543536,As Cinquenta Sombras Mais Negras,92,14
143,-0.41404932795546723,La La Land: Melodia de Amor,66,28
144,-0.4765115310760457,Fragmentado,37,21
145,-0.5155981169831247,Rings,24,14
146,-0.38639822012469127,Elementos Secretos,40,21
