,Weekly rank,Title,Country,Director,Distributor,Screens (week),Gross revenue (week),Tickets (week),Screens (all-time),Gross revenue (all-time),Tickets (all-time),Days since premiere,Week,Weekly drop (revenue)
0,1,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",EUA,92,366371.539999999,75090,284,1585526.05000001,325111,28,1,
1,2,Rogue One: Uma História de Star Wars,NOS Lusomundo Audiovisuais,Gareth Edwards,EUA,98,258851.890000001,42485,219,1382394.37000002,226289,21,1,
2,3,Passageiros,Big Picture 2 Films,Morten Tyldum,EUA,69,241492.180000001,45643,92,560578.829999998,106033,14,1,
3,4,Vaiana,NOS Lusomundo Audiovisuais,"Ron Clements, Don Hall",EUA,67,178498.41,36429,327,1470399.96,300873,42,1,
4,5,Porquê Ele?,Big Picture 2 Films,John Hamburg,EUA,46,105807.95,20494,74,244236.640000001,47733,14,1,
5,6,Beleza Colateral,NOS Lusomundo Audiovisuais,David Frankel,EUA,66,102582.48,19639,103,242926.310000001,46567,14,1,
6,7,A Encarnação do Mal,NOS Lusomundo Audiovisuais,Brad Peyton,EUA,33,57611.79,10936,33,57611.79,10936,7,1,
7,8,Festa de Natal da Empresa,NOS Lusomundo Audiovisuais,"Josh Gordon, Will Speck",EUA,47,52945.1999999999,10186,166,572191.739999994,109854,28,1,
8,9,Bleed for This - A Força de Um Campeão ,NOS Lusomundo Audiovisuais,Ben Younger,EUA,36,50225.26,9597,36,50225.26,9597,7,1,
9,10,A Luz Entre Oceanos,NOS Lusomundo Audiovisuais,Derek Cianfrance,"EUA, Reino Unido, Nova Zelândia",33,50216.29,9680,33,50216.29,9680,7,1,
10,11,O Herói da Quinta,NOS Lusomundo Audiovisuais,"Gabriel Riva Palacio Alatriste, Rodolfo Riva-Palacio Alatriste",México,39,49525.73,10398,59,111951.29,23908,14,1,
11,12,Aliados,NOS Lusomundo Audiovisuais,Robert Zemeckis,EUA,26,41184.64,7975,249,786801.439999986,148326,35,1,
12,13,Monstros Fantásticos e Onde Encontrá-los,NOS Lusomundo Audiovisuais,David Yates,"EUA, Reino Unido",34,33931.91,6485,331,1776750.04000003,321449,49,1,
13,14,Na Via Láctea,Midas Filmes,Emir Kusturica,"EUA, Reino Unido, Sérvia",9,18467.2,3585,9,18467.2,3585,7,1,
14,15,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,15,15548.5,2956,90,171200.320000001,32545,28,1,
15,16,O Vendedor,Alambique,Asghar Farhadi,"França, Irão",10,8580.2,1657,15,20929.79,4216,14,1,
16,17,O Herói de Hacksaw Ridge,NOS Lusomundo Audiovisuais,Mel Gibson,"EUA, Austrália",9,8312.16,1580,286,776299.689999994,148389,56,1,
17,18,Trolls,Big Picture 2 Films,"Mike Mitchell, Walt Dohrn",EUA,12,8147.56,1684,295,1121831.45,229444,70,1,
18,19,"Eu, Daniel Blake",Midas Filmes,Ken Loach,"França, Bélgica, Reino Unido",5,7237.31,1325,35,86337.01,16879,35,1,
19,20,O Primeiro Encontro,Big Picture 2 Films,Denis Villeneuve,EUA,4,3828.58,719,169,334532.199999998,62674,56,1,
20,1,Assassin's Creed,Big Picture 2 Films,Justin Kurzel,"EUA, França, Hong Kong, Reino Unido",86,470726.249999998,81567,86,470726.249999998,81567,7,2,
21,2,Passageiros,Big Picture 2 Films,Morten Tyldum,EUA,69,150307.62,27986,134,711158.449999996,134079,21,2,-0.37758804446587313
22,3,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",EUA,95,140465.34,28851,305,1726017.39000001,353968,35,2,-0.6166041172302839
23,4,Manchester by the Sea,NOS Lusomundo Audiovisuais,Kenneth Lonergan,EUA,44,115683.67,21748,44,115683.67,21748,7,2,
