,Weekly change (revenue),Title,Weekly change (no. of screens),Days since premiere,Holidays
859,-0.857500717116279,Linha Mortal,-27.0,28,2
779,-0.8563555623031085,Um Voo em Grande,-20.0,35,2
313,-0.835081236550266,Kong: A Ilha da Caveira,-27.0,42,3
436,-0.8304876338844598,Foge,-18.0,28,2
199,-0.8245507050462926,Ozzy,-11.0,56,2
157,-0.8206926235616382,Resident Evil: Capítulo Final,-26.0,28,2
379,-0.8197438827886164,Kickboxer: A Vingança,-14.0,21,2
916,-0.7987898212534128,O Boneco de Neve,-34.0,28,2
315,-0.7897768368678527,Vida Inteligente,-22.0,28,3
198,-0.7846694147049991,Jackie,-16.0,28,2
194,-0.7845622420937801,Rings,-12.0,28,2
238,-0.7820429851924081,Vedações,-22.0,28,2
476,-0.7813351392412959,Amarelinho,-45.0,28,2
235,-0.7751565354838019,A Grande Muralha,-30.0,35,2
879,-0.7745223642739117,Kingsman: O Círculo Dourado,-24.0,42,3
995,-0.7733051284125424,Só Para Bravos,-22.0,21,3
654,-0.7719532871859666,Olha Que Duas,-23.0,21,3
755,-0.7718812082544784,Baby Driver - Alta Velocidade,-15.0,49,2
118,-0.7694817912528316,Passageiros,-26.0,49,2
274,-0.7606311825607059,Collide - A Alta Velocidade,-13.0,21,2
137,-0.7589875131279239,Assassin's Creed,-25.0,42,3
833,-0.7551869999211489,Mãe!,-31.0,28,2
39,-0.7501225247856664,Monstros Fantásticos e Onde Encontrá-los,-20.0,56,2
753,-0.7485987247502695,Dia de Surf 2,-13.0,21,2
750,-0.7457945782793192,Annabelle 2: A Criação do Mal,-16.0,42,2
716,-0.7417522303170825,Atomic Blonde - Agente Especial,-35.0,28,2
374,-0.7412371767673309,A Bela e o Monstro,-21.0,56,2
279,-0.7409193313242403,Rock Dog - Um Sonho Altamente!,-13.0,35,2
184,-0.7405605148591994,Lego Batman: O Filme,-26.0,21,2
278,-0.7373883708639443,Eusébio - História de uma Lenda,-5.0,14,2
710,-0.7346198186589887,Baywatch: Marés Vivas,-19.0,49,2
919,-0.7320006243262884,A Vida de Brad,2.0,14,2
599,-0.7291672017442721,O Portal do Guerreiro,-1.0,14,2
777,-0.7279696086562003,Annabelle 2: A Criação do Mal,-15.0,49,2
677,-0.7261586963477678,2:22 - Hora Fatídica,-11.0,21,2
237,-0.7258924671272126,La La Land: Melodia de Amor,-24.0,56,2
456,-0.7255088978690294,Cantar!,9.0,138,2
96,-0.7242562147312206,Viver na Noite,-29.0,21,2
217,-0.7235668431533337,T2 Trainspotting,-20.0,21,2
996,-0.7207384188994883,O Homem do Coração de Ferro,-5.0,21,3
1036,-0.7187395619146426,Liga da Justiça,-34.0,41,3
832,-0.7175714076540545,Bigfoot Junior,-4.0,42,2
771,-0.7158664956563052,Sorte à Logan,-22.0,21,2
197,-0.7150342559605374,Silêncio,-9.0,49,2
839,-0.7072182521763932,Bling - Super-Heróis,1.0,14,2
27,-0.7035154542833183,Vaiana,-6.0,49,2
932,-0.6953601211827598,Geostorm - Ameaça Global,-31.0,35,2
398,-0.6932421697420867,Jacinta,-15.0,35,2
676,-0.6930984663988555,Assalto ao Shopping,-11.0,21,2
556,-0.6908700942056774,All Eyez on Me,-12.0,21,2
113,-0.6865027262967982,Assassin's Creed,-41.0,35,2
159,-0.6842047366176178,Aqui Há Gato!,-12.0,28,2
972,-0.680204448323609,Thor: Ragnarok ,-47.0,42,3
216,-0.6783880724488756,O Espaço Que Nos Une,0.0,14,2
611,-0.6782871367609773,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-16.0,70,2
912,-0.6780767136225847,O Estrangeiro,-9.0,35,2
314,-0.6755118225977923,Power Rangers,-24.0,28,3
37,-0.6752675269226586,Aliados,-14.0,42,2
827,-0.6740529759188878,Lego Ninjago - O Filme,-14.0,21,2
834,-0.6738808124407194,Assassino Americano,-8.0,35,2
453,-0.6731657136289186,Conspiração Terrorista,-12.0,21,2
429,-0.6701912979769691,Guardiões da Galáxia Vol.2,-17.0,35,2
937,-0.6698339037217076,Stronger - A Força de Viver,-14.0,22,2
758,-0.6670099444800444,Una - Negra Sedução,2.0,14,2
873,-0.6662580708222865,Alguém Como Eu,-20.0,21,3
498,-0.6656304802417314,Borboleta Negra,0.0,14,3
256,-0.665400537850759,As Cinquenta Sombras Mais Negras,-35.0,49,2
517,-0.6644260065539729,A Missão,-12.0,21,2
182,-0.6639966481560857,A Grande Muralha,6.0,21,2
957,-0.6601477516263705,Vive,-17.0,21,2
878,-0.6560760129640004,O Castelo de Vidro,1.0,14,3
715,-0.6557601783705134,Alibi.com,0.0,14,2
948,-0.6553153459409838,O Gangue do Parque 2,-7.0,29,2
588,-0.6503715420949647,Overdrive - Os Profissionais,-20.0,28,2
56,-0.6498966671640909,A Luz Entre Oceanos,-23.0,21,2
974,-0.6495645938984966,O Gangue do Parque 2,-24.0,36,3
439,-0.6478737021760774,"Paula Rego, Histórias & Segredos",1.0,56,2
712,-0.6468957107600624,Carros 3,-14.0,49,2
151,-0.6454729749262188,xXx: O Regresso de Xander Cage,-28.0,35,2
418,-0.6451060397818769,Fátima,-14.0,28,2
539,-0.6443667941693374,The Boss Baby,-4.0,84,2
357,-0.6442233790038477,Juntos Para Sempre,-26.0,28,3
933,-0.6440903743843123,Marcas de Guerra,0.0,14,2
1033,-0.6439854006004592,A Montanha Entre Nós,-13.0,28,3
756,-0.6437986078765706,Os Crimes de Limehouse,0.0,14,2
421,-0.6431853311697879,Alien: Covenant,-9.0,14,2
769,-0.6429927632313726,Renegados,-18.0,21,2
894,-0.6426174709157979,Feliz Dia Para Morrer,-25.0,28,2
566,-0.6413143843096403,Transformers: O Último Cavaleiro,-36.0,28,2
525,-0.6406261531214206,Capitão Cuecas - O Filme,-22.0,35,2
637,-0.6402872676999973,"Tal Pai, Tal Mãe 2",0.0,14,2
192,-0.6396915163773811,Elementos Secretos,-7.0,35,2
331,-0.6396834223029241,Juntos Para Sempre,-7.0,21,3
638,-0.639657535121056,A História do Amor,0.0,14,2
335,-0.6385491349755362,The Last Face - A Última Fronteira,-13.0,21,3
613,-0.6372871682208836,A Múmia,-15.0,56,2
893,-0.6370757464864164,O Pequeno Vampiro,-31.0,21,2
954,-0.6365290966788045,The Only Living Boy in New York,-4.0,14,2
32,-0.6362860089299873,Festa de Natal da Empresa,-33.0,35,2
219,-0.6354341344676002,Um Instante de Amor,3.0,14,2
473,-0.6338673163358917,Bailarina,-24.0,49,2
829,-0.6328123798322188,Linha Mortal,-9.0,21,2
189,-0.6325797710999391,La La Land: Melodia de Amor,-11.0,42,2
499,-0.6317525030793545,Escritos Secretos,-6.0,21,3
33,-0.6312086666869928,O Herói da Quinta,-4.0,21,2
739,-0.6304149522246718,Carros 3,-8.0,56,2
353,-0.6252957979910176,Smurfs: A Aldeia Perdida,-32.0,35,3
272,-0.6243448327539052,Malapata,-8.0,21,2
231,-0.6236004043611322,John Wick 2,-22.0,28,2
719,-0.6235491121430345,Valerian e a Cidade dos Mil Planetas,-12.0,42,2
952,-0.6234293690124197,Jigsaw: O Legado de Saw,-22.0,35,2
711,-0.6230628958631319,Gru - O Maldisposto 3,-7.0,70,2
853,-0.6230461834454567,It,-29.0,42,2
371,-0.6207691898276289,O Jardim da Esperança,-8.0,21,2
598,-0.6191331270538374,Girls Night,-8.0,42,2
813,-0.6175698072973443,Uma Casa Cheia,-9.0,21,3
22,-0.6166041172302839,Cantar!,3.0,35,2
267,-0.6164153055083132,Logan,-32.0,35,2
373,-0.6161657049307954,A Cabana,-7.0,21,2
207,-0.6159562697156733,A Grande Muralha,-21.0,28,2
1014,-0.6158072651456918,24 Horas Para Viver,0.0,14,2
422,-0.6138386418345354,Rei Artur: A Lenda da Espada,-2.0,21,2
1010,-0.6134065371184104,Liga da Justiça,-36.0,35,2
303,-0.6127078516917928,Smurfs: A Aldeia Perdida,-29.0,21,3
130,-0.6125553576971914,Resident Evil: Capítulo Final,-25.0,21,3
628,-0.6124807537953981,Planeta dos Macacos: A Guerra,-27.0,28,2
114,-0.6117605460715533,Nos Limites da Lei,-22.0,28,2
795,-0.6114347137024274,Renegados,-20.0,28,2
369,-0.6107312992705574,Jacinta,9.0,28,2
494,-0.6092371993433012,Perdidos,-15.0,35,3
730,-0.6092313959616467,Um Voo em Grande,-8.0,21,2
360,-0.6072692092460164,Velocidade Furiosa 8,-29.0,28,2
959,-0.607249990242082,Peregrinação,-12.0,29,2
152,-0.6065660097304257,Ozzy,-23.0,42,2
183,-0.6056283947176895,John Wick 2,-5.0,14,2
906,-0.603237936115361,Geostorm - Ameaça Global,-11.0,28,2
693,-0.6023158289272779,Wind River,-11.0,14,2
155,-0.5997293786916982,Cantar!,-23.0,77,2
209,-0.5996204935983083,Ouro,-4.0,14,2
275,-0.5978688136130623,Moonlight,-6.0,63,2
451,-0.5974427052970255,Guardiões da Galáxia Vol.2,-28.0,42,2
276,-0.5972843582720913,Lego Batman: O Filme,-23.0,49,2
597,-0.5960003608328233,Mulher-Maravilha,-14.0,56,2
747,-0.5957710851541389,Emoji: O Filme,-12.0,42,2
408,-0.5955696872853088,Bailarina,-12.0,28,2
312,-0.5924324833755594,100 Metros,-12.0,21,3
213,-0.5923774042679877,La La Land: Melodia de Amor,-15.0,49,2
190,-0.591665353107282,T2 Trainspotting,-5.0,14,2
658,-0.5903163117264603,Capitão Cuecas - O Filme,-5.0,77,3
366,-0.5897916374357438,O Círculo,-5.0,14,2
295,-0.5888401261540386,Negação,-2.0,14,2
767,-0.5886399742487646,O Guarda-Costas e o Assassino,-20.0,35,2
587,-0.5868140465862255,A Múmia,-22.0,49,2
918,-0.5863836686228392,O Pequeno Vampiro,-12.0,28,2
68,-0.5848247631973581,Viver na Noite,-5.0,14,2
326,-0.5841963333233289,Smurfs: A Aldeia Perdida,-6.0,28,3
889,-0.583610414280926,Um Susto de Família,-33.0,28,2
729,-0.5826345225086444,Baby Driver - Alta Velocidade,-15.0,42,2
934,-0.582447456573389,Peregrinação,-13.0,22,2
49,-0.5822066302810269,Rogue One: Uma História de Star Wars,-24.0,35,2
24,-0.5814120963150025,Rogue One: Uma História de Star Wars,-23.0,28,2
